"ID"	"count"	"names"
"A. baumannii"	"    9"	"Acinetobacter baumannii"
"Acidobacillus ferrooxidans"	"    2"	"Acidithiobacillus ferrooxidans"
"Acinetobacter"	"    1"	"Acinetobacter spp."
"Acinetobacter lwoffii"	"    3"	"Acinetobacter lwoffii"
"Actinobacillus muris"	"    1"	"Actinobacillus muris"
"Arthrobacter"	"    2"	"Arthrobacter spp."
"Bacillus megaterium"	"    1"	"Bacillus megaterium"
"BCG"	"    3"	"Mycobacterium bovis BCG"
"BLaER1"	"    1"	"BLaER1 Human B-cell Precursor Leukemia Cell Line"
"BLaER1 gfp-"	"    1"	"BLaER1 Human B-cell Precursor Leukemia Cell Line (GFP)"
"bolletii"	"    2"	"Mycobacterium bolletii"
"C. metallidurans"	"   22"	"Cupriavidus metallidurans"
"C. pneumoniae"	"   24"	"Chlamydia pneumoniae"
"C. trachomatis"	"    8"	"Chlamydia trachomatis"
"Chlamydia"	"    8"	"Chlamydia spp."
"Chlamydia pneumoniae"	"    7"	"Chlamydia pneumoniae"
"Chlamydia trachomatis"	"    4"	"Chlamydia trachomatis"
"Comamonas sp."	"    2"	"Comamonas sp."
"Corynebacterium spec"	"    1"	"Corynebacterium sp."
"Covid-19"	"  539"	"SARS-CoV-2"
"Cupriavidus metallidurans"	"   14"	"Cupriavidus metallidurans"
"H. haemolyticus"	"    3"	"Haemophilus haemolyticus"
"H. influenzae"	"  827"	"Haemophilus influenzae"
"H37Rv"	"  590"	"Mycobacterium tuberculosis H37Rv"
"Haemophilus haemolyticus"	"   20"	"Haemophilus haemolyticus"
"Haemophilus influenzae"	"  174"	"Haemophilus influenzae"
"Haemophilus parainfluenzae"	"    7"	"Haemophilus parainfluenzae"
"Homo sapiens"	"   27"	"Homo sapiens"
"human 10 ng"	"    7"	"Homo sapiens (10ng)"
"human 9,99999ng/ M.  tuberculosis 0,00001ng"	"    6"	"Homo sapiens/Mycobacterium tuberculosis (9,99999ng/0,00001ng)"
"human 9,99999ng/ M. tuberculosis 0,00001ng"	"    1"	"Homo sapiens/Mycobacterium tuberculosis (9,99999ng/0,00001ng)"
"human 9,9999ng/ M.  tuberculosis 0,0001ng"	"    6"	"Homo sapiens/Mycobacterium tuberculosis (9,9999ng/0,0001ng)"
"human 9,9999ng/ M. tuberculosis 0,0001ng"	"    1"	"Homo sapiens/Mycobacterium tuberculosis (9,9999ng/0,0001ng)"
"human 9,999ng/ M.  tuberculosis 0,001ng"	"    6"	"Homo sapiens/Mycobacterium tuberculosis (9,999ng/0,001ng)"
"human 9,999ng/ M. tuberculosis 0,001ng"	"    1"	"Homo sapiens/Mycobacterium tuberculosis (9,999ng/0,001ng)"
"human 9,99ng/ M.  tuberculosis 0,01ng"	"    6"	"Homo sapiens/Mycobacterium tuberculosis (9,99ng/0,01ng)"
"human 9,99ng/ M. tuberculosis 0,01ng"	"    1"	"Homo sapiens/Mycobacterium tuberculosis (9,99ng/0,01ng)"
"human 9,9ng/ M.  tuberculosis 0,1ng"	"    6"	"Homo sapiens/Mycobacterium tuberculosis (9,9ng/0,1ng)"
"human 9,9ng/ M. tuberculosis 0,1ng"	"    1"	"Homo sapiens/Mycobacterium tuberculosis (9,9ng/0,1ng)"
"human 9ng/ M.  tuberculosis 1ng"	"    6"	"Homo sapiens/Mycobacterium tuberculosis (9ng/1ng)"
"human 9ng/ M. tuberculosis 1ng"	"    1"	"Homo sapiens/Mycobacterium tuberculosis (9ng/1ng)"
"human/ M.  tuberculosis"	"   23"	"Homo sapiens/Mycobacterium tuberculosis"
"K. pneumoniae"	"   87"	"Klebsiella pneumoniae"
"Kocuria kristinae"	"    1"	"Kocuria kristinae"
"Lactobacillus spec."	"    2"	"Lactobacillus sp."
"Lactococcus lactis"	"    1"	"Lactococcus lactis"
"Legionella"	"   20"	"Legionella spp."
"Legionella pneumophila"	"    6"	"Legionella pneumophila"
"Leptospirillum ferriphilum"	"    4"	"Leptospirillum ferriphilum"
"M.   Bovis"	"    1"	"Mycobacterium bovis"
"M.  (para)intracellulare, chimaera, yongonense, indicus pranii"	"    1"	"Mycobacterium -(para)intracellulare, -chimaera, -yonogonense, -indicus pranii"
"M.  abscessus"	"  595"	"Mycobacterium abscessus"
"M.  abscessus/
immunogense (Primärkultur)"	"    1"	"Mycobacterium abscessus/immunogense (primary culture)"
"M.  africanum"	"    1"	"Mycobacterium africanum"
"M.  avium"	"   53"	"Mycobacterium avium"
"M.  avium C"	"    1"	"Mycobacterium avium complex"
"M.  basiliense"	"    3"	"Mycobacterium basiliense"
"M.  bovis"	"  671"	"Mycobacterium bovis"
"M.  bovis africanum"	"    1"	"Mycobacterium bovis africanum"
"M.  bovis_caprae"	"   12"	"Mycobacterium -bovis, -caprae"
"M.  Bovis/bovis"	"    1"	"Mycobacterium bovis"
"M.  canetti"	"    7"	"Mycobacterium canettii"
"M.  canettii"	"    2"	"Mycobacterium canettii"
"M.  caprae"	"    1"	"Mycobacterium caprae"
"M.  chelonae"	"    2"	"Mycobacterium chelonae"
"M.  chimaera"	"   51"	"Mycobacterium chimaera"
"M.  Chimaera"	"   45"	"Mycobacterium chimaera"
"M.  fortuitum"	"   15"	"Mycobacterium fortuitum"
"M.  Fortuitum"	"    2"	"Mycobacterium fortuitum"
"M.  gastri"	"   18"	"Mycobacterium gastri"
"M.  gastri/kansasii"	"   11"	"Mycobacterium -gastri, -kansasii"
"M.  gastri/kansasii-like (n=2)"	"    1"	"Mycobacterium -gastri, -kansasii-like (2 nt)"
"M.  gilvum"	"    1"	"Mycobacterium gilvum"
"M.  gordonae"	"    1"	"Mycobacterium gordonae"
"M.  intracellulare"	"   22"	"Mycobacterium intracellulare"
"M.  intracellulare (Primärkultur)"	"    2"	"Mycobacterium intracellulare (primary culture)"
"M.  intracellulare, M.  marseillense, M.  yongonense"	"    2"	"Mycobacterium -intracellulare, -marseillense, -yonogonense"
"M.  intracellulare, M.  yongonense, marseillense"	"    1"	"Mycobacterium -intracellulare, -marseillense, -yonogonense"
"M.  intracelullare"	"    2"	"Mycobacterium intracellulare"
"M.  kansasii"	"  159"	"Mycobacterium kansasii"
"M.  Kansasii"	"  182"	"Mycobacterium kansasii"
"M.  kansasii (Primärkultur)"	"    1"	"Mycobacterium kansasii (primary culture)"
